document	label
두분이서 힘든데 원룸 하신다 하면 보여드릴 순 있어요. 투룸 하시면 보증금 삼백만 원 하셔야 해요	0
40평 아파트 하나와 50평 아파트 하나가 매물로 나와 있습니다	0
배는 한 박스에 사만삼천 원이에요	0
채색에 대한 공부를 하면 됩니다	0
입안이 자꾸 마른다고 해서 계속 써도 되나 싶어서요	1
검정은 거기 있는 애들 다 잘 나가요	0
지금 바로 들어가서 책 놓고 바로 공부 해도 되나요?	1
올데이킹 세트가 전부다 4900원인 거예요? 낱개로 하면은요?	1
할부로 결제할게요	1
음식이나 필요한 건 어떻게 주문하나요?	1
네.	0
평당 5만 원입니다	0
여기 다 나간 것들은 오후에 안 만드세요?	1
주차장이 어디에요?	1
네 약 1시간 정도 소요될 것 같습니다	0
엉덩이 하고 배만 가릴 수 있는 기장의 셔츠가 나을 거 같아요	0
고객님하고 학생하고는 피부가 달라서 같이 쓰면 안 되죠. 학생은 수분 써야 하고 고객님은 영양감 있는 거 쓰셔야 해요	0
전세 복비 비율은 어떻게 됩니까?	1
치즈 돈가스인데 조그마한 게 두 개가 나가요	0
부동산이 열었는지 전화 해보고 와야겠다 그죠?	1
면접 때 신을 구두 보러 왔는데요	1
박카스 육백원입니다	0
모닝콜 가능할까요?	1
포켓볼은 구비되어 있지 않아요	0
이게 4만원씩이니까 추가하고 하면 한 20만원 안되실것 같아요	0
아무래도 그렇죠	0
솔로와 도피오와 트리플이 있어요	0
조식은 몇 시까지인가요?	1
근데 예를 들어요 내가 이걸 하다가 질려서 판다 그럼 팔 수는 있어요?	1
주문해 주시니 저희가 감사하죠	0
여기 포켓볼도 칠 수 있나요?	1
왼쪽 라인에 있는 게 신상품 라인이에요	0
카피했는 거예요?	1
오렌지 컬러 얼마인가요?	1
20평짜리 사무실은요?	1
아니에요 쿠폰 사용 가능하시네요	0
머신은 어디 있나요?	1
교복은 맡기면 내일 찾을 수 있나요?	1
주차는 나가시면서 영수증 보여주시면 됩니다	0
네	0
회원가입하고 결제 가능하네요?	1
8시 반에서 9시 정도요	0
문은 몇 시에 닫으세요?	1
네 감사합니다	0
그거랑 생맥주도 가져다주세요	1
마세 되나요?	1
225가 맞네요 좀 큰거 신어야 돼요?	1
파란색도 있나요?	1
와이파이 비번 있나요?	1
네 적립 쿠폰 주시면 적립해드릴게요	0
결제할 때 카드도 가능한가요?	1
주문하면 며칠 정도 걸리나요	1
통학차는 있나요?	1
요기는 다 수제화인가봐요?	1
탈모샴푸 전용 있어요, 언니	0
정형외과 밑에 있는 약국을 가야 그런 종류를 팔아요	0
예약하시고 오시면 더 좋으세요	0
여기도 있고 아무 데나 다 있어요	0
저거는 또 다른 거예요?	1
네, 가능합니다	0
자몽 있어요?	1
런치세트로 샌드위치와 아메리카노가 잘 나갑니다	0
샤인 머스켓은 저희가 판매하고 있지 않아요.	0
지하철역에 가까운 원룸이죠?	1
네 주말이 더 낫죠	0
이거 말고 저렴한 거도 있죠?	1
우리 집에서 아쿠아리움 예약하시면 가격이 저렴하고, 관광지는 10분 거리에 있어요	0
네 배달 가능하세요	0
이거는 소재가 뭔데요?	1
이것도 사이즈가 있나요?	1
삼성 페이로는 결제가 불가능해요	0
음식도 주문이 가능한가요?	1
국산 콩인가요?	1
혹시 후불도 가능하죠?	1
향 한번 맡아봐도 될까요?	1
최대 16명이요	0
요즘은 검은색 치마레깅스가 제일 잘나가요	0
네 신어보세요	0
네 알겠습니다	0
어떤 걸 주의하면 되죠?	1
저희 죄송한데 따로 할인되는 거 없어요	0
네, 있어요	0
와이파이 비밀번호는 종이에 써져있습니다	0
아니요 그런 건 없습니다	0
네 배달됩니다	0
나가셔서 위쪽에 있어요	0
한 번 발라봐도 되나요?	1
그거는 가격대가 비싸죠?	1
염색은 얼마인가요?	1
팩트 할인은 언제까지에요?	1
면은 여기서 뽑아요?	1
네다섯 명부터 열 명까지 있습니다	0
네	0
저거 잘 나가요?	1
네, 사람은 다 살죠	0
삼백만 원에 삼십만 원은 비싸고 더 싼 거는 나쁘죠?	1
네 다예요	0
지금 판매하시는 고기는 한 번도 안 얼린 냉장이에요?	1
아이들은 달콤한 빵을 좋아하죠	0
네	0
예 넉넉하게 드릴게요	0
가격이 얼마예요?	1
트윈룸 맞나요?	1
저희 어릴 때는 그런 게 있었는데 요즘은 그런거 없어요	0
네 있습니다	0
한 달 수강료는 얼마쯤?	1
바깥에는 가죽으로 돼있고, 안에는 천으로 되있는데 세탁되는지 알 수 없을까요?	1
수선 정도에 따라 금액이 다르기 때문에 정확히 말씀드리기 어렵습니다	0
네, 여기 드릴게요	0
빌라 전세가 칠천만 원이에요?	1
네, 고기는 바로 쓰실 수 있게 해드릴게요	0
회원가는 700원입니다	0
참치 스파이스 치킨에도 밥이 나오나요?	1
기다리는 동안 이용할 편의시설이 있을까요?	1
네 바로 보실 수 있으세요	0
쌀국수 육수에요	0
네, 괜찮은 매물 있습니다.	0
감자탕에 같이 넣어 끓이려고 하는데?	1
몇 시에 문 여시고 닫으세요?	1
이 검은색 스웨터 스몰 사이즈가 있나요?	1
이 컬러도 괜찮고요, 주황빛도 레드 컬러인데 이런 컬러도 반응이 좋아요	0
수능특강 위에 영어 독해랑 수능 완성 두 단계가 더 있어요	0
그럼 어디에 주차하면 되나요?	1
차 갖고 오면 앞에 대면 돼요?	1
이 블라우스는 다른 색상은 없나요?	1
지금 시간 장사하시나요?	1
반지가 사이즈가 안 맞는데 환불 가능한가요?	1
주문할게요	1
네 직접 하죠	0
용량이 많이 들어가 있어서 비쌉니다	0
네 휴지 가져다드릴게요	0
백숙용 닭고기 손질하는 거 보셔도 돼요	0
페이코와 삼성페이만 결제 가능해요	0
네 제가 해드릴께요	0
제주도에서 나와요.	0
쿠폰 합쳐드릴게요	0
사이즈는 한 가지 인가요?	1
케이크가 냉동보관 되는 지는 잘 모르겠어요	0
네 글루코사민하고 콘드로이틴 같이 있는 약이 관절 영양에 좋죠	0
네 맞습니다	0
침만 은인가요?	1
3일 전에 알려주시면 돼요	0
네. 복숭아 있어요.	0
카카오페이는 안되고 삼성페이는 됩니다	0
요즘은 수박이 많이 안 나오나봐요?	1
삼성페이나 카카오페이도 혹시 가능한가요?	1
제일 잘 나가는 건 이 제품입니다	0
그런 거는 없어요	0
이 파운데이션은 지속력도 좋은가요?	1
지금 요게 이찹니까?	1
목동피자는 어떤 게 들어가요?	1
그 코트 13만원이에요	0
이 제품 현금할인으로 이천원 세일해드릴 수 있어요	0
포장돼요	0
이것도 가격은 똑같아요?	1
하나에 천삼백원이에요?	1
4300원이요	0
곡물 좀 빻으려는데, 준비를 어떻게 하면 될까요?	1
혹시 아들이 마음에 안 들어 하면 교환 가능한가요?	1
당연히 와이파이 설치되어 있습니다	0
지금은 런치메뉴 주문 가능한가요?	1
여기 나가서 옆에 있어요	0
케첩은 따로 없어요	0
가게 얼마나 됐어요?	1
구천원입니다	0
그렇죠	0
스킨처럼 뿌리는 거예요?	1
1주일에 12만 원 입니다	0
주말에 예약이 가능한가요?	1
고등학생이 좋아하는 스타일은 아니에요	0
봄에 나오는 거는 얇은 속겹이 있습니다	0
그것도 가지고 와보세요	0
지금 집 좀 보러 갈 수 있나요?	1
리저브는 처음인데요	1
이불 한 장 더 주실 수 있나요?	1
한 되하면 떡을 잘랐을때 몇 개 정도 나와요?	1
죄송합니다	0
네 물론이죠	0
네 있습니다	0
이 쿠폰은 언제까지 쓸 수 있어요?	1
요지 하나 주세요	1
구천원입니다	0
바지 드라이 금액 칠천 원이요	0
저희 아들이 중삼인데 병원 같은 데 진료하러 가면 기운이 없어 보인다고 하는데 왜 그래요?	1
2800원입니다	0
네 만져보세요	0
여기 네 개가 들어가요	0
네, 3개월 한 번에 하시면 할인됩니다	0
네, 포인트 적립 해드릴게요	0
삼성페이 이런것도 되나요?	1
네 카드 결제 가능하세요	0
죄송하지만 포장은 2인분부터 가능하세요	0
정액제 만 원 충전하면 몇 시간이에요?	1
네, 가능해요	0
빵 사려면 두 시쯤 오면 되겠네요?	1
청소년은 몇 시까지 이용 가능하죠?	1
액세서리 코너에 있습니다	0
#주소# 열다섯평은 얼마에요?	1
때가 잘 타려나?	1
비상구는 혹시 어디쪽에 있어요?	1
귤은 한 박스에 만이천 원이에요.	0
아침에 나오죠	0
네 월요일부터 금요일까지만 해요	0
크로스백은 어디에 있나요?	1
떡이 나오려면 얼마나 기다려야 하나요?	1
저기 운동화 말고 그냥 가죽 신발도 세탁돼요?	1
방어가 좋아요	0
오억 육천만 원에 매매 된 건 몇 평인데요?	1
이건 5천 원이고 이쪽 거는 만이천 원이에요.	0
남방은 면 종류인가 봐요?	1
시간당 2500원입니다	0
카드 할인되는 가격이 얼마인가요?	1
골고루 들어가요	0
이거는 봄상품 같은데 할인을 하네요?	1
비타민 들어간 이 제품은 지금 할인행사 하는 거예요?	1
바비큐장 이용 가능한가요?	1
요 앞에 주차 해도 돼요?	1
간장게장 아직 남아있나요?	1
네, 그정도 해요	0
와이파이는 있나요?	1
이거 검정은 어떻게 해요?	1
마들렌은 선물 포장되나요?	1
경찰하고 싶다 하면 경찰 행정이나 이쪽으로 가면 되고요	0
네	0
네	0
음식 배달 시켜도 되나요?	1
미끄럽지는 않은가예?	1
영업시간은 24시간입니다	0
이 티는 빨간 티와 함꼐 백프로 면이에요	0
그럼 총 10만 원 결제해드릴게요	0
네 그럼요	0
네 알겠습니다	0
송혜교 립스틱은 없어요	0
그때 쉬는 날이 없다고 하셨었나요?	1
이것도 구입하면 에이에스 다 되죠?	1
곰국 끓이려면 우선 뼈를 사셔야 해요	0
전골 1인분으로 나오는 건 없어요?	1
중화가 짜장면이 유명합니다	0
계산 먼저 해주세요	1
이것도 자주색 있네요?	1
밤 12시 전에 나가셔야 해요	0
슬리퍼 이거는 가볍게 외출할 때 신는건가요?	1
레몬유자차는 레몬청과 유자청이 모두 들어가고, 유자차는 유자청만 들어갑니다	0
상담실에서는 앉아서 먹게 하게 해요	0
네, 객실 두 개에 삼십만원이에요	0
합성 피혁이에요	0
이게 이미테이션이에요?	1
네 알겠습니다	0
학교 길 건너에 있는 거죠?	1
만 육천 원요	0
네 전화해서 예약하고 방문하시면 돼요	0
보브 건 얼마예요?	1
바깥 소재는 가죽이에요?	1
주차 할 곳은 있나요?	1
우측에 보시면 있어요	0
마시던거 싸주실 수 있어요?	1
단체 주문은 매장에서 하면 되나요?	1
그럼 음식은 앉아서 주문하면 되는 거죠?	1
나이 든 사람도 수업을 들을 수 있을까요?	1
추운데 히터 좀 틀어주세요	1
후라이드 등 여러 가지 많이 있어요	0
검정이 날씬해 보이고 제일 나아요	0
네 이쪽에 진열되어있습니다	0
오렌지가 안에서 터져 있었는데 바꿔주세요.	1
허리는 38, 빅사이즈 제품 있나요?	1
이거는 팔찌예요 목걸이에요?	1
이 제품이 비타민도 들어가 있고 유분기 없어서 금방 흡수도 돼요	0
12시예요	0
단독주택 같은거 사십평 정도 매매 하려면 얼마정도 하죠?	1
박카스 한 박스에 얼마인가요	1
어떤 땅이 있나요?	1
찹쌀떡은 얼마예요?	1
아니요	0
못난이 사과가 저렴한데 8개에 5천 원이에요.	0
네, 있어요	0
아귀찜도 괜찮고 가오리 찜도 괜찮아요	0
그리고 디저트도 제공되나요?	1
네 되죠	0
한 캔에 2000원입니다	0
네 알겠습니다	0
네 짬뽕도 있고 짬뽕밥도 있습니다	0
요 제품은 얼마예요?	1
현금으로 하시면 현금영수증 끊어 주시면 되세요	0
한라봉 한 개 가격이 얼마죠?	1
카드 드려도 되나요?	1
아주머니 요 사과는 어디 껍니까 ?	1
제휴사 할인 혜택 있나요?	1
그러면 양복 상의하고 하의 같이 하는데는 세탁료 얼마쯤 받아요?	1
방 있어요	0
그냥 커피예요	0
그럼 적어도 2월 둘째 주쯤 필요하신거군요	0
네 감사합니다. 안녕히가세요	0
네, 달라고 하면 일회용품 다 드려요	0
수선은 얼마 정도 걸리나요?	1
김치 종류가 몇 가지가 있나요?	1
네 픽업 다 돼요	0
표 안 나요? 어때요?	1
네	0
한 시간에 600원이에요	0
생크림 케이크는 얼마인가요?	1
네, 주차 공간은 총 30개로 넉넉한 편이에요	0
네, 전부 국산이에요	0
이거는 인디핑크라 카든가?	1
요즘은 전세가 잘 없죠?	1
미리 준비해서 바로 나올 수 있어요	0
학생증 없으면 독서실 이용이 안돼요?	1
바비큐장은 몇 시부터 이용 가능한가요?	1
네, 대실 가능하세요	0
바비큐 이용시 따로 추가 요금은 없나요?	1
이것도 다 20%?	1
네 10만 원입니다	0
퇴실 시간은 언제예요?	1
수학은 17만 원 영어도 17만 원이에요	0
네 다 같이 있어요	0
아 그러면 배달비도 따로 내야 되나요?	1
이 신발이 제일 신상이고 잘 나가고 있어요	0
네	0
맞아요 그런데 고등학생은 안해요	0
당구장 안에 커피 머신 있나요?	1
10만 원이에요	0
아침에는 몇 시에 하시는데예?	1
간장 게장 맛좀 봐도 되나요?	1
계란 말이랑 치킨 너깃엔 고춧가루 안 들어갔어요	0
저 하얀 가방은 천이에요?	1
계절이 바뀔때 신상이 들어와요	0
아인슈페너는 무엇인가요?	1
지금 입기 좋은 통바지 같은 거는 없어요?	1
대실 되나요?	1
오늘 식빵 나왔나요?	1
도로로 이어진 형태인가요?	1
여기 화장실 어디있어요?	1
네	0
#주소#는 몇 평이죠?	1
상의 수선 비용을 말씀드리기 어려우며, 하의 수선은 육천 원 정도 입니다	0
밍크 옷의 기본 수선비가 있을 거 아니에요?	1
케이크를 냉동보관은 안돼고 냉장보관만 되나요?	1
두 집 있어요	0
이 신발은 중국산이고 방수가 잘 되지 않아요	0
립 라이너 펜슬형 있나요?	1
신상 디자인들을 비치해 놓았습니다	0
2-3학년은 많이 있어요	0
네	0
내한테 마음에 드는 브라운 색깔이 아닌데?	1
문자로 스킨로션 할인한다고 해서 왔는데 어떤 건가요?	1
너무 질척하진 않아요?	1
네 가능합니다	0
저 티셔츠는 프리사이즈로 110사이즈까지 가능합니다	0
마포구청 역 근처에 얼마나 있나요?	1
아직은 없어요	0
김치는 담그시는거예요?	1
포켓볼 당구대는 그냥 바로 가서 치면 돼요?	1
귀 안 뚫고 할 수 있는 이렇게 무는 건 없어요?	1
오징어가 더 잘 나가요	0
우리 애 선물할건데 귀걸이 롱으로 나오는 거 어떤 거 있어요?	1
좀 큰 듯한데 원래 좀 크게 나와요?	1
집주인한테 전화해 볼게요	0
네 케이크 종류는 어떤 게 있나요?	1
2인실인데 좀 작아보이는데 다른 방도 그런가요?	1
블라우스를 구매하고 싶은데요	1
손님 지금 김밥은 밥을 짓고 있어서 조금 기다리셔야 하는데요	0
#주소#에서 648세대에요	0
오천구백 원입니다	0
ㅇㅇㅇ 제품 있나요?	1
여기 베스트 적혀 있는 게 제일 많이 나가요	0
건물 안쪽으로 들어가시면 됩니다	0
얼마에요?	1
지금 주문하면 얼마나 걸릴까요?	1
지금 저렴한 매물이 없죠?	1
포장해가는 것도 가능해요?	1
체크인은 2시 이후에 가능해요	0
아무 데나 앉아도 되죠?	1
음식을 주문할 수 있을까요?	1
파스 종류 다른 건 없어요?	1
네, 얼음 많이 넣어드리겠습니다	0
삼겹살은 구천팔백원이요	0
가격이 고기마다 다 다르고, 좋은 고기는 몇천원 더 비싸요	0
사과는 달콤한 맛인가요?	1
지금 바로 가능합니다	0
저희 이번 시즌에 트렌치코트가 잘 나왔습니다 고객님	0
골드 말고 실버로 하고 싶은데 있나요?	1
아인슈페너는 진한 아메리카노 위에 크림을 올린 음료입니다	0
귀걸이 목걸이 세트 제품으로 볼 수 있을까요?	1
네 여기 있습니다	0
어떤 게 젤 많이 나가요?	1
가방 좀 구경해도 되나요?	1
네	0
매물이 얼마나 있나요?	1
쿠킹 칼 챙겨 드려요	0
안내해 드리겠습니다	0
배터리는 들어가 있나요?	1
그 사이즈 입으시면 맞으실거예요	0
이번 행사는 이름이 뭐예요?	1
이거 230이죠?	1
요런 마이도 큰 사이즈 없나요?	1
매니큐어요? 매니큐어는 뭐에요?	1
한 되에는 얼마라고 하셨죠?	1
5천 원이면 한 그릇정도에요	0
네, 번호 알려주세요	0
예	0
주차장 따로 있나요?	1
피 자체가 쌀입니다. 흑미로 만든 빵도 있어요.	0
해당 콘도에 직접 문의해 보셔야 될 것 같습니다	0
주차 할인되나요?	1
네. 가능합니다.	0
얼마인가요?	1
안전 한 거죠?	1
웨이팅 있나요?	1
네 가능합니다.	0
네, 2000원 할인됩니다. 	0
네 신어보세요	0
혹시 지금 시간 괜찮으시면 지금도 가능해요	0
자주색 흰색 검은색 세 가지 있어요	0
간이 다 되어 있어요	0
꼬막은요?	1
아동용은 3천 원입니다	0
여기 체인점이에요?	1
제일 큰 거는 얼마인데요?	1
이런 거는 얼마예요?	1
저희 아버지가 직접 끓이신 곰국이에요	0
뒤쪽에도 진열돼 있어요	0
아파트 전세로 나온거 있어요?	1
여러분 계세요	0
와이파이 비밀번호는 카운터와 모니터에 적혀 있습니다	0
침대방이에요? 아니면 온돌이에요?	1
3배 정도 납니다	0
국도 나오죠?	1
파무침은 서비스로 드릴게요	0
이거는 뭐예요?	1
물은 셀프죠?	1
큐대는 오른쪽에 걸려 있습니다	0
이 제품은 뽀송하게 마무리되는 편이라 고객님께는 조금 건조할 것 같네요	0
번호 입력 부탁합니다	0
3000원입니다.	0
네	0
루테인이 좋습니다	0
네, 수거하실 때 결제하시면 됩니다	0
아뇨	0
참숯 팔고 있어요	0
삼성페이로 결제 가능한가요?	1
그러면 언제쯤 전화드리면은 되겠어요?	1
손잡이는 뭐로 돼있어요?	1
네	0
제휴 할인되는 카드 있나요?	1
결제는 현금으로만 되나요?	1
여기 앞에 대시고 밥 먹고 빨리 빼주시면 돼요	0
10억이면 좋네요	1
카드로 7만 5천 원까지 해드릴게요	0
이 파이가 적당히 달아요. 초콜릿을 좋아하시면 이 파이가 괜찮으세요	0
네, 내일 오시면 잘 해드릴게요	0
놀이 공간은 따로 없어요	0
색상은 이거 말고 어떤 색이 있나요?	1
5만 원이요	0
지하철 2호선 신분당선 강남역에서 가장 가까워요	0
5시에 수학 7시에 영어를 신청할 수 있습니까?	1
스물네평 전세 #주소# 는 몇 층이에요?	1
교환은 가능하신데 환불은 안 돼요	0
네 빨간날도 쉽니다	0
정수기가 안되는 것 같아요	1
엘레베이터 있는 아파트로 매물 부탁드려요	1
스케치를 조금 하는데 채색 들어가면 조금 어려워하던데요?	1
바로 뒤편에 진열되어 있어요	0
네, 이 동네도 가격이 만만치 않아요	0
여기 할인 같은 건 없어요?	1
네 어서 오세요	0
그냥 빨아도 괜찮고 방수라 툭툭 털어도 돼요	0
식사 가능해요?	1
이게 어디 제품이에요?	1
밝은색 파카인데 찌든때 같은 거는 세탁이 가능한가요?	1
오십프로 세일해서 이십일만 구천 원이에요	0
만구천원짜리 떡은 노란색 고물이에요	0
네 맞아요	0
네 가능합니다	0
예 적당량 이 정도 높이 들어가도록 넣으면 돼요	0
아니요 저희는 똑같아요	0
이거 외국 브랜드에요?	1
뮬 같은거 그런거는 없어요?	1
삼인 가족은 패밀리 트윈이라고 해서 싱글 침대 하나가 떨어져 있고, 싱글 침대 두 개가 붙어있는 방이 있어요	0
1인 만 원이에요	0
네 주문 도와드리겠습니다	0
태권도장 찾아가려면 어떻게 가요?	1
5팩에 만 원이에요	0
육천 원입니다	0
이거는 색상이 뭐 있어요?	1
개발은 언제쯤 될까요?	1
이거는 스킨로션 하시면 44000원, 세트로 하시면 미니어처 키트 세트 들어가요	0
방은 독방, 따로따로 어떤 식으로 돼 있어요?	1
코트에 단추 같은 경우 금방 달아주나요?	1
케이크 어디 있나요?	1
원장님 저 커트하고 싶은데 어떻게 하면 어울릴까요?	1
주차는 몇 대까지 가능한가요?	1
안넣고 싶으시면 안넣어 드립니다	0
죄송하지만 원 사이즈밖에 없습니다	0
시간은 어느 정도 걸려요?	1
네 1000원 맞아요	0
스티커 끊기고 안 그렇죠?	1
